site_name,full_name,team
Bryce Ring,Bryce Ring,Ottawa
Paul Renaud,Paul Renaud,Ottawa
Colin Froats,Colin Froats,Ottawa
Alec Arsenault,Alec Arsenault,Ottawa
Lance Blackstock,Lance Blackstock,Ottawa
Colin Green,Colin Green,Ottawa
John Haig,John Haig,Ottawa
Andrew Ouchterlony,Andrew Ouchtecheny,Ottawa
Pete Proulx,Pete Proulx,Ottawa
Kinley Gee,Kinley Gee,Ottawa
Dan Turcotte,Dan Turcotte,Ottawa
Karl Loiseau,Karl Loiseau,Ottawa
Nick Boucher,Nick Boucher,Ottawa
Jeremy Hill,Jeremy Hill,Ottawa
Luke Phelan,Luke Phelan,Ottawa
Scott Westwell,Scott Westwell,Ottawa
Schrin S,Scott Schriner,Cincinnati
Kieran Kelly,Kieran Kelly,Cincinnati
Eddie Mack,Eddie Mack,Cincinnati
Cody Fox,Cody Fox,Cincinnati
Tim Settles,Tim Settles,Cincinnati
Corey Hardesty,Corey Hardesty,Cincinnati
Gus Misleh,Gus Misleh,Cincinnati
Kyle Rom,Kyle Romard   ,Cincinnati
Darin Graves,Darin Graves,Cincinnati
Will Huffer,Will Huffer,Cincinnati
Kegan Carroll,Kegan Carroll,Cincinnati
Dan Latz,Dan Latz      ,Cincinnati
Nick Wetzel,Nick Wetzel   ,Cincinnati
Keegan North,Keegan North,Cincinnati
Dinan,Grant Dinan   ,Cincinnati
Greg,Greg Dinan    ,Cincinnati
Justin Latz,Justin Latz,Cincinnati
Eric Brinkman,Eric Brinkman,Cincinnati
Nick Bissonnette,Nicholas Bissonnette,Cincinnati
Stephen Moore,Stephen Moore,Cincinnati
Isaac Jeffries,Isaac Jeffries,Cincinnati
Zach Kaylor,Zach Kaylor,Cincinnati
Ben Jansen,Ben Jansen,Cincinnati
Colin Cartney,Collin McCartney,Cincinnati
Colin Grandon,Colin Grandon,Cincinnati
Sage Ben,Benjamin Sage,Cincinnati
Sage,Benjamin Sage,Cincinnati
Ted Landis,Ted Landis,Cincinnati
Dylan Elder,Dylan Elder,Cincinnati
T Phil,Tom Phillips,Cincinnati
Russo,Russo,Cincinnati
Justin Goodman,Justin Goodman,San Diego
Nick Lance,Nick Lance,San Diego
Steven Milardovich,Steven Milardovich,San Diego
Dominic Leggio,Dom Leggio,San Diego
Ross Lenta,Ross Lenta,San Diego
Ben Clark,Ben Clark,San Diego
Will Griffin,Will Griffin,San Diego
Kyle Olson,Kyle Olson,San Diego
Nathan Bridges,Nathan Bridges,San Diego
Kory Helms,Kory Helms,San Diego
Joshua Ackley,Josh Ackley,San Diego
Cody Kirkland,Cody Kirkland,San Diego
Jimmy Mickle,Jimmy Mickle,San Diego
David Flock,David Flock,San Diego
Casey Wu,Casey Wu,San Diego
Ryan Slaughter,Ryan Slaughter,San Diego
Alec Benton,Alec Benton,San Diego
Andy Sammons,Andy Sammons,San Diego
Andy Curtis,Andy Curtis,San Diego
Josh Nickerson,Josh Nickerson,San Diego
Nicholas Smith,Nick Smith,San Diego
Matt Parisi,Matt Parisi,San Diego
Trevor Purdy,Trevor Purdy,San Diego
Kurt Gibson,Kurt Gibson,San Diego
Travis Dunn,Travis Dunn,San Diego
Jesse Cohen,Jesse Cohen,San Diego
Nicholas Woo VonHoogens,Nick Woo VonHoogenstyn,San Diego
Michael Bevers,Michael Bevers,San Diego
Kevin Stuart,Kevin Stuart,San Diego
Mitchell Dozzi-Daigle,Mitchell Dozzi-Daigle,Vancouver
Josh Tan,Joshua Tan,Vancouver
John Norris,John Norris,Vancouver
Andre Gailits,Andre Gailits,Vancouver
Kevin Lore,Kevin Lore,Vancouver
Nick Menzies,Nick Menzies,Vancouver
Gagan Chatha,Gagan Chatha,Vancouver
Darren Wu,Darren Wu,Vancouver
MeFadyen Connor,Connor McFadyen,Vancouver
Tim Tsang,Tim Tsang,Vancouver
Max Hunter,Max Hunter,Vancouver
Richie Tam,Richie Tam,Vancouver
Fred Lam,Fred Lam,Vancouver
Peter Yu,Peter Yu,Vancouver
Alex Davis,Alex Davis,Vancouver
Ryan Lee,Ryan Lee,Vancouver
Clement Yip,Clement Yip,Vancouver
Myles Sinclair,Myles Sinclair,Vancouver
Malcolm Bryson,Malcolm Bryson,Vancouver
Brian Baker,Brian Baker,Vancouver
Marc Leduc,Mark Leduc,Vancouver
Bellav J,Joel Bellavance,Vancouver
Rumi Tejpar,Rumi Tejpar,Vancouver
Derek Fenton,Derek Fenton,Vancouver
Brett Anderson,Brett Anderson,Vancouver
Kevin Underhill,Kevin Underhill,Vancouver
Edward Guo,Edward Guo,Vancouver
